C2, 3.35, 3.75, 180.00, 0.1µF, C0402
C3, -3.75, 5.15, 270.00, 4.7µF, C0603
C4, -2.45, 5.15, 270.00, 4.7µF, C0603
CON2, 0.00, 0.66, 180.00, CON-4P-TABS-JST_GH-RA, JST_GH-4P-RA
IC2, 0.25, 5.25, 0.00, TPD3S014DBVR-SOT23-6, SOT26
